"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Light Marble",,"wix:image://v1/866235_b9c734f5eed04263ba6f8faa065eb6b2~mv2.jpg/TEM-Countertops-LightMarble_110725.jpg#originWidth=600&originHeight=600",,"2bfb7ed3-82a7-4489-aa62-06ed7740942b",2026-04-20T21:40:52Z,2026-04-20T21:42:10Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:40:37Z,,"PUBLISHED"
"Dark Marble",,"wix:image://v1/866235_0673d34c7271435480bac0bfc14f0ac6~mv2.jpg/TEM-Countertops-DarkMarble_110725.jpg#originWidth=600&originHeight=600",,"6ed7336e-0d00-4437-b52a-4be83376fbb9",2026-04-20T21:40:49Z,2026-04-20T21:41:50Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:40:37Z,,"PUBLISHED"
"Terrena Soapstone",,"wix:image://v1/866235_fde3a4d65cdf4ff3adb66df60e501092~mv2.jpg/TEM_Countertop_TerrenaSoapstone_110725.jpg#originWidth=600&originHeight=600",,"d04f2232-8336-447e-ae3f-ecfc1ba79973",2026-04-20T21:40:46Z,2026-04-20T21:41:36Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:40:37Z,,"PUBLISHED"
