"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"White Shaker","<p class=""font_8"">- Shaker</p>","wix:image://v1/866235_2073399908024c43aea06e7d316202c2~mv2.jpg/whiteshaker.jpg#originWidth=4000&originHeight=4000",,"0dba50f9-1dd2-4bfc-bb9e-12b561a94cc5",2026-04-16T18:29:13Z,2026-04-20T22:26:56Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-16T18:29:12Z,,"PUBLISHED"
"Onyx","<p class=""font_8"">- Shaker</p>","wix:image://v1/866235_ac33f291a78d44e899726ac042974414~mv2.jpg/onyx.jpg#originWidth=1000&originHeight=1000",,"2620ce23-17bb-4a24-bf61-5111a99e5349",2026-04-16T18:30:12Z,2026-04-20T22:27:03Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-16T18:29:12Z,,"PUBLISHED"
"Plover","<p class=""font_8"">No longer Avalible</p>","wix:image://v1/866235_24ccecb4a43a47bca01650da07ee5535~mv2.jpg/plover.jpg#originWidth=1000&originHeight=1000",,"3029cafd-7ee8-417d-9563-3e8b0efac5fe",2026-04-17T23:24:22Z,2026-04-17T23:33:26Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",,2026-04-17T23:30:33Z,"DRAFT"
"Rustic Hickory","<p class=""font_8"">- Raised Panel</p>","wix:image://v1/866235_ef93c3191e914e8f8a976e17d3109408~mv2.jpg/rustic_hickory.jpg#originWidth=1200&originHeight=1614",,"3e02facd-e1a4-4f8e-9de1-fa5a9f7ec973",2026-04-17T23:24:46Z,2026-04-20T22:26:31Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-17T23:24:09Z,,"PUBLISHED"
"Studio Beige","<p class=""font_8"">- Shaker</p>","wix:image://v1/866235_ca8b98dd5b7244a99e337c5daeb8a4e9~mv2.jpg/studio_beige.jpg#originWidth=1000&originHeight=1000",,"4ded5919-13c3-4580-a337-caf2950bc3ee",2026-04-16T18:30:11Z,2026-04-20T22:26:51Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-16T18:29:12Z,,"PUBLISHED"
"Club Grey",,"wix:image://v1/866235_ecf43a5b74db4d6f8d5570c60be97d38~mv2.jpg/club-grey.jpg#originWidth=4000&originHeight=4000","Standard","79dace30-9f15-4e07-b922-8aa110f49f21",2026-04-16T18:30:13Z,2026-04-20T22:26:24Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-16T18:29:12Z,,"PUBLISHED"
"Walnut Shaker",,"wix:image://v1/866235_ecd3a0b75eb34bc4afae199ad1403995~mv2.jpg/walnutshaker.jpg#originWidth=4000&originHeight=4000","Standard","849d833e-1c43-4773-99b5-c7c4761dba5b",2026-04-16T18:30:10Z,2026-04-20T22:26:00Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-16T18:29:12Z,,"PUBLISHED"
"Smokey Mt. Grey","<p class=""font_8"">- Shaker</p>",,,"8c635e1e-2777-4cb7-8d95-aaf1dcd4cc69",2026-04-20T22:28:56Z,2026-04-20T22:29:25Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",,2026-04-20T22:29:23Z,"DRAFT"
