"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Charcoal","<p class=""font_8"">Shingles</p>","wix:image://v1/866235_b2dcfb056a8d4bdd9d410cd2612f9b90~mv2.png/charcoal.png#originWidth=1000&originHeight=820",,"01331455-5fe5-442f-95d6-afe9b7305bcf",2026-04-20T19:26:29Z,2026-04-20T19:28:48Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:26:19Z,,"PUBLISHED"
"Charcoal Grey","<p class=""font_8"">Metal Roof</p>","wix:image://v1/866235_71cdc96ccba64642a8fe7babe4ef0838~mv2.png/Charcoal_Grey_Metal_Roof.png#originWidth=1000&originHeight=1000",,"2d924d44-d801-4dc6-8e94-6fce79312a67",2026-04-20T19:26:58Z,2026-04-20T19:29:16Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:26:19Z,,"PUBLISHED"
"Parchment","<p class=""font_8"">Metal Roof</p>","wix:image://v1/866235_da3c697c14514b1fb1c7940e8fee4122~mv2.png/Parchment_Metal_Roof.png#originWidth=1000&originHeight=1000",,"c8a8bf80-85a9-4d95-8d70-229742ce7601",2026-04-20T19:26:35Z,2026-04-20T19:29:24Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:26:19Z,,"PUBLISHED"
"Pine Green","<p class=""font_8"">Metal Roof</p>","wix:image://v1/866235_f8ffc3c565c34512b99ebee1fa20c2b3~mv2.png/PIne_Green_Metal_Roof.png#originWidth=1000&originHeight=1000",,"db06522c-c9dd-4844-b8da-224db04662b4",2026-04-20T19:27:13Z,2026-04-20T19:29:37Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:26:19Z,,"PUBLISHED"
"Weathered Wood","<p class=""font_8"">Shingles</p>","wix:image://v1/866235_00b684e61ad443e1be388dc83f384a64~mv2.png/weathered_wood.png#originWidth=1000&originHeight=824",,"f6d68423-f529-4550-b89d-8488ae50a30e",2026-04-20T19:26:45Z,2026-04-20T19:29:07Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:26:19Z,,"PUBLISHED"
"Shakewood","<p class=""font_8"">Shingles</p>","wix:image://v1/866235_ae93405db2c849eab073b32369ee4dcd~mv2.png/shakewood.png#originWidth=1000&originHeight=824",,"fd7b9f8e-b51a-4db6-b410-203bf0663502",2026-04-20T19:26:43Z,2026-04-20T19:28:58Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T19:26:19Z,,"PUBLISHED"
