"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Weathered Wood","<p class=""font_8"">Shingles</p>","wix:image://v1/866235_6353259e9b774cd0b13dbb65bb62b717~mv2.png/Weathered%20Wood.png#originWidth=1000&originHeight=824",,"17afeec5-81d4-465e-9f05-f05942f6bf72",2026-04-20T21:03:54Z,2026-04-20T21:05:29Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:03:49Z,,"PUBLISHED"
"Charcoal","<p class=""font_8"">Shingles</p>","wix:image://v1/866235_e2fcedf1c81c4ddaa9582da813ed1dfd~mv2.png/Charcoal.png#originWidth=1000&originHeight=820",,"1b5fdbbb-7e65-4f32-8ed9-544b399a2469",2026-04-20T21:03:52Z,2026-04-20T21:05:18Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:03:49Z,,"PUBLISHED"
"Kelly Green","<p class=""font_8"">Metal Roof</p>","wix:image://v1/866235_feea7cef9f4d411cb491c0d45cb541af~mv2.png/Kelly%20Green.png#originWidth=1000&originHeight=1000",,"75425160-82e9-4306-aef5-b8b4dfdc7a2d",2026-04-20T21:04:16Z,2026-04-20T21:05:34Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:03:49Z,,"PUBLISHED"
"Red","<p class=""font_8"">Metal Roof</p>","wix:image://v1/866235_31d58ad421a74e11b28a5c7ef06aab64~mv2.png/Red.png#originWidth=1000&originHeight=1000",,"bf561f9f-0581-4cae-bd15-f17f106aaf39",2026-04-20T21:04:20Z,2026-04-20T21:05:39Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:03:49Z,,"PUBLISHED"
"Shakewood","<p class=""font_8"">Shingles</p>","wix:image://v1/866235_99cb22cd6eb1417d8c021d4c9e6a01e4~mv2.png/Shakewood.png#originWidth=1000&originHeight=824",,"c0a80555-481d-4d5d-bd0b-09f1f337b78e",2026-04-20T21:03:53Z,2026-04-20T21:05:25Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:03:49Z,,"PUBLISHED"
"Sandstone Beige","<p class=""font_8"">Metal Roof</p>","wix:image://v1/866235_56506f48db954b1e9a9a0dafe187faa8~mv2.png/Sandstone%20Beige.png#originWidth=1000&originHeight=1000",,"cbe59ada-52f3-4435-9afe-45a2293f85a3",2026-04-20T21:04:23Z,2026-04-20T21:05:48Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T21:03:49Z,,"PUBLISHED"
