"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Round Knob","<p class=""font_8"">Brushed Nickel</p>","wix:image://v1/866235_2ddd18ce3fa54f799f9b7509c3502a0b~mv2.png/brushed-nickel-round-knob.png#originWidth=1000&originHeight=1000",,"04b44d42-f2e9-481c-aaff-fbfd526f5308",2026-04-20T20:42:04Z,2026-04-20T20:45:08Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:41:47Z,,"PUBLISHED"
"Square Pull","<p class=""font_8"">Brushed Nickel</p>","wix:image://v1/866235_6c9244bace0544bc8e7b31b4577c490d~mv2.png/brushed-nickel-square-pull.png#originWidth=1000&originHeight=1000",,"296fe5df-b73f-4155-ab76-3c329c1c99ab",2026-04-20T20:42:07Z,2026-04-20T20:45:14Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:41:47Z,,"PUBLISHED"
"Square Round Knob","<p class=""font_8"">Matte Black</p>","wix:image://v1/866235_53890b414e5048e898307fdd6fddb2f4~mv2.png/matte-black-square-round-knob.png#originWidth=1000&originHeight=1000",,"5dfb82c9-9a52-4997-98c2-b0d224d2e3b8",2026-04-20T20:42:10Z,2026-04-20T20:45:34Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:41:47Z,,"PUBLISHED"
"Egg Knob","<p class=""font_8"">Brused Brass</p>","wix:image://v1/866235_096bee22e2e148dcb0ef13370bf2c673~mv2.png/brushed-brass-egg-knob.png#originWidth=1000&originHeight=1000",,"77c06745-f475-4ce1-a14c-639c47f1f8bd",2026-04-20T20:42:00Z,2026-04-20T20:44:58Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:41:47Z,,"PUBLISHED"
"Square Round Pull","<p class=""font_8"">Matte Black</p>","wix:image://v1/866235_beb638b40bcf4bfc85cf5ab429622d69~mv2.png/matte-black-square-round-pull.png#originWidth=1000&originHeight=1000",,"836a4ee0-283d-4df7-9d82-d4b243b67f84",2026-04-20T20:42:15Z,2026-04-20T20:45:44Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:41:47Z,,"PUBLISHED"
"Square Pull","<p class=""font_8"">Brused Brass</p>","wix:image://v1/866235_d24fb9fb4efc46a0b81e5bd8ab9c420e~mv2.png/brused-brass-square-pull.png#originWidth=1000&originHeight=1000",,"920bc44e-55ef-4b0c-bc0a-249c04a5f362",2026-04-20T20:42:00Z,2026-04-20T20:44:50Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:41:47Z,,"PUBLISHED"
