"Title","Description","Image","Image Alt Text","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date","Status"
"Rustic Hickory",,"wix:image://v1/866235_20830290317640de8fec015ce941c87a~mv2.png/Rustic%20Hickory.png#originWidth=800&originHeight=1000",,"1224b865-f16e-40f3-b265-bac8dc837ce7",2026-04-20T20:38:35Z,2026-04-20T20:40:29Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:38:15Z,,"PUBLISHED"
"Smokey Mountain Alder",,"wix:image://v1/866235_50e26bbf901b4167b6a0c66b05d50df2~mv2.png/Smokey_Mountain_Alder.png#originWidth=801&originHeight=1000",,"4abc124b-b694-42ec-88c7-cd9fa68b9955",2026-04-20T20:38:38Z,2026-04-20T20:40:36Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:38:15Z,,"PUBLISHED"
"Plover",,"wix:image://v1/866235_a195ad089fb34b2db74b011d07c364c5~mv2.png/Plover.png#originWidth=813&originHeight=1000",,"5f1c12ea-ce0b-47f2-81a7-bbfb46f11352",2026-04-20T20:38:31Z,2026-04-20T20:40:22Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:38:15Z,,"PUBLISHED"
"Studio Beige Hardwood",,"wix:image://v1/866235_8aaae0d0fabe4b0093276a98f1f0c579~mv2.png/Studio%20Beige%20Hardwood%20Match.png#originWidth=800&originHeight=1000",,"c26d618a-c48b-48d1-9823-f9bf32d7b631",2026-04-20T20:38:42Z,2026-04-20T20:40:42Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:38:15Z,,"PUBLISHED"
"Bishop Oak Alder",,"wix:image://v1/866235_d42816692d1844eba1681f05396d1714~mv2.png/Bishop%20Oak%20Alder.png#originWidth=800&originHeight=1000",,"f47979f8-b8b5-48bf-843e-611c4b9b9cc7",2026-04-20T20:38:24Z,2026-04-20T20:40:10Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:38:15Z,,"PUBLISHED"
"Onyx Hardwood",,"wix:image://v1/866235_b207de262f0b4b508415f5a58d26c8c3~mv2.png/Onyx%20Hardwood%20Match.png#originWidth=800&originHeight=1000",,"f76e1b12-8eec-472d-ab37-6efcfbade4fa",2026-04-20T20:38:29Z,2026-04-20T20:40:16Z,"86623596-2b11-4ff5-aa33-cf74cb1ae58a",2026-04-20T20:38:15Z,,"PUBLISHED"
